Symbol,Name,Quantity,Avg. Price,Cost Basis,Unrealized Gain ($),Unrealized Gain (%),Value
SCHD,Schwab U.S. Dividend Equity ETF,506.01787,25.77,"13,037.58","2,922.22",22.41,"15,959.80"
DGRO,iShares Core Dividend Growth ETF,152.33738,59.41,"9,050.70","2,124.77",23.48,"11,175.47"
VIG,Vanguard Dividend Appreciation ETF,48.49306,188.32,"9,132.31","1,840.21",20.15,"10,972.52"
MA,Mastercard Incorporated,1.91939,530.29,"1,019.23",-53.82,-5.28,965.41
MSCI,MSCI Inc.,1.16806,526.08,614.49,19.01,3.09,633.50
UNH,UnitedHealth Group Incorporated (DE),2.15926,285.05,669.06,-55.96,-8.36,613.10
META,Meta Platforms Inc.,0.9422,651.59,614.49,-7.73,-1.26,606.76
MSFT,Microsoft,1.51754,403.10,670.78,-83.72,-12.48,587.06
INTU,Intuit Inc.,1.03272,394.34,607.47,-244.42,-40.24,363.05
AVGO,Broadcom Inc.,0.61649,331.73,204.83,-0.39,-0.19,204.44
